username,text
405kerij,one best hotel ive stay staff great locat perfect accommodationsamen plan visit hotel even weekend getaway restaur within walk distanc store would ever need necess hotelroom quiet comfort
409shanei,room nice clean stay suit offer nice full kitchen option along ga fireplac light toilettub area need brighter minor complaint towel could better qualiti grand scheme thing ive much wor front desk
421melinda,upgrad balconi room look dumpster housekeep servic poor hotel bill wi fi servic use towel never replac call soap
43carriec,excel stay hotel conveni locat freeway easi find 3 restaur within walk distanc also locat close shop townriv shrine ladi guadalup hotel staff friendli profess breakfast awesom alway alway well stock pool room
43margaritaf,room clean larg room nice decor central locat variou wineri outlett restaur downtown area base over experi definit return hotelit pleasur guest anniversari glad enjoy stay see next visit
43reds,delight hotel decid spectat book chose pool promi littl room standard room significantli lower price room spectat go time happi welcom warm got
445kayw,husband attend great american outdoor show harrisburg second time stay hotel room clean attract decor staff friendli help also enjoy restaur loung breakfast dinner staff also friendli meal reason price
453John,may look bit date seen road room stay small side util space attent detail amaz breakfast basic typic fare relax bright cheer lobbi area
455debbiee,motel redon littl messi room new mattress wonder bad back knee second night walk carri cane need know kind mattress use werent far away would move
460donp,room clean newli remodel staff pleasant problem door fit right slam door 4th floor extrem loud stay lot hampton inn never experienc problem room exit door
461cathys,price definit worth petit jean lodg cabin probabl book way advanc place conveni park reason alon would stay sure
477johnnya,alway extrem satisfi stay hilton hotel great qualiti custom servic price affor well worth luxuri qualiti hotel amen recommend hotel anyon
484fredrickm,hotel suggest famili member visit columbu agr comfort valu well worth select stay schedul longer stay vacat would surley problem request stay microtel
48mimiy,go napa must stay hampton inn suit hotel clean friendli room updat mani perk like cooki tea coff lobbi day complimentari hot breakfast snack bar take us san francisco definit want stay hampton inn suit againdear 48mimiythank take time review hampton inn suit napa definit stay us offer mani perk like 24 hour complementari tea coff addit cooki run breakfast go bag avail monfri 6am 10am swing front desk bag avail guest thank visit hope see warmest regard serina najar
48nancym,love hotel servic excel staff welcom friendli room spaciou nice decor restaur wonder weve enjoy breakfast lunch dinner numer time alway plea locat perfect explor citi neighbor island
48tarad,experi check terribl servic appear letharg uninterest uninvest would gone elsewh pour rain sheet thin seem cheap didnt make good sleep stay happi come back thing trip
490aracelic,drop daughter uf va conveni mile dorm definit stay visit clean enough park complimentari breakfast alway plu
49states6continents,nice decor furnish hotel great locat friendli staff attent door staff valet selfpark room servic hotel restaur irish pub food look bar harbor room face street best view harbor also outdoor tabl
4everateo,spent three day western inn stay plan ahead time happi result room clean well kept staff famili help davey father great conver glass wine game pleasantli surpri bill gener
4kb83,stay signatur plu room best western 379 someth ridicul like want unobstruct view red rock wake fall asleep also want step away uptown sedona desir great view great locat well met luxuri suit quiet privaci
501stDarthMO,took famili fun fill 4th juli weekend disney end ill due mold allergi bathroom exten mold wallpap grout tub wife allergi mold becam ill spent day bed sick
505jll,plea servic give room clean bathroom clean hotel gener clean staff nice help bed comfort good wifi signal
513pegv,staff attent welcom river view love room comfort bed need replac linen space taken long shelv w pillow seat would better
5168pp,second time stay room larg two doubl bed use pool peopl time call towel extra blanket
517larryr,check told reward point review wyndham reward member number zero possibl stay facil mainli locat close famili
529cynthiar,stay hotel everi time travel oklahoma citi staff friendli profess room nice import clean bed made wonder soft sheet noth neg say 2nd stay 5 star stay without 5 star price
52nathant,staff told differ thing upon book arriv told certain special call book 2 week prior day ofthey confu price special didnt understand book specif price well activ navi disappoint
530Linda530,nasti rude man desk dark old smelli room back side motel pictur trip advisor cant room 170 check told couldnt stay pool bug dirt bottom room dark outdat didnt feel like would abl sleep
532trail,best stay ever ashley front desk went way take care famili heard help even know enjoy sound citi midnight shut window didnt hear thing clean easi get whole staff
549anonymous,manag everyth make stay easi possibl accommod breakfast great like one stay room great size set famili would highli recommend
54PAgirl54,went pine barn babi shower beauti decor quiet wonder servic wonder histor inn area
54belair,alway stay hotel visit new orlean liter step classic restaur new orlean close bourbon street still allow good night sleep staff friendli help without overbear recommend larger room smaller one sinc small room realli
54malac,nice properti room servic aw hard get attent front desk multipl request need get issu resolv big hotel doesnt custom servic need
551taniw,everyth perfect got away 3 night park car arriv didnt use left hire limo one day concierg set us amaz high end wine tast lunch day 2 spa top notch cannot wait go
559MoM,frill locat residenti area close freeway 711 starbuck mexican restaurantnightclub check quick welcom point park lot could issu cau size wasnt pack check avoid dilemma elev lobbi conveni quick
560deanaj,hotel seem like good neighbourhood room nice comfort breakfast good serv plastic plate cutleri breakfast buffet nice choic food yoghurt similar check easi fast staff nice
570pennyr,servic front desk consid lower valu hotel dont valu common courtesi hotel breakfast staff friendli help made sure buffet well stock hotel guest
57Campbell,travel coast take exam cuesta didnt want pay lot want safe colleg less 10 minut next morn found staff friendli help got late went way make
